category,key,value
list,regions,NA
list,regions,EU
list,regions,APAC
list,regions,LATAM
list,regions,BR
list,platforms,PC(MSS)
list,platforms,PC(Bnet)
list,platforms,PS5
list,platforms,Xbox Series X
list,platforms,Xbox One
list,platforms,Switch
list,platforms,Mobile
list,modes,MP
list,modes,BR
list,modes,WZ
list,modes,Ranked
list,modes,HC
list,modes,Campaign
list,modes,Spec Ops
list,bugTypes,Visual
list,bugTypes,Logic
list,bugTypes,Audio
list,bugTypes,Crash
list,bugTypes,Performance
list,bugTypes,Network
list,bugTypes,HUD
list,bugTypes,Animation
list,bugTypes,UI
list,bugTypes,AI
list,bugTypes,Physics
list,bugTypes,Collision
list,bugTypes,Texture
list,regressionStatuses,Verificado Corregido
list,regressionStatuses,Regresado
list,regressionStatuses,No Reproducible
list,regressionStatuses,Aún Presente
list,regressionStatuses,No Encontrado
list,regressionStatuses,Fix Parcial
list,onlineOrLan,Online
list,onlineOrLan,LAN
list,onlineOrLan,Offline
list,onlineOrLan,Split-Screen
list,severities,S0
list,severities,S1
list,severities,S2
list,severities,S3
list,priorities,P0
list,priorities,P1
list,priorities,P2
list,priorities,P3
map,-,Shurima Rift
map,-,Piltover Foundry
map,-,Zaun Undercity
map,-,Freljord Bastion
map,-,Noxian Front
map,-,Ionia Canopy
map,-,Demacian Citadel
map,-,Shadow Isles
map,-,Targon Ascent
map,-,Void Breach
poi,Shurima Rift,Sunscar Gate
poi,Shurima Rift,Ember Dunes
poi,Shurima Rift,Obelisk Yard
poi,Shurima Rift,Buried Vault
poi,Shurima Rift,Glass Ridge
poi,Shurima Rift,Scorpion Pass
poi,Shurima Rift,Sunken Relay
poi,Piltover Foundry,Hexgate Plaza
poi,Piltover Foundry,Clockwork Gate
poi,Piltover Foundry,Progress Hall
poi,Piltover Foundry,Chem-Lab Checkpoint
poi,Piltover Foundry,Enforcer Depot
poi,Piltover Foundry,Railway Span
poi,Zaun Undercity,Pipeworks
poi,Zaun Undercity,Sludge Tanks
poi,Zaun Undercity,Dripstone Market
poi,Zaun Undercity,Lost Workshop
poi,Zaun Undercity,Smogway Center
poi,Freljord Bastion,Iceforge
poi,Freljord Bastion,Howling Storehouse
poi,Freljord Bastion,Frostpipe Bridge
poi,Freljord Bastion,Watchfire
poi,Freljord Bastion,Sejuani's Rise
poi,Noxian Front,Warcamp
poi,Noxian Front,Legion Command
poi,Noxian Front,Bloodgate
poi,Ionia Canopy,Spirit Shrine
poi,Ionia Canopy,Lotus Walk
poi,Ionia Canopy,Monastery Roof
poi,Demacian Citadel,Grand Armory
poi,Demacian Citadel,Marble Rampart
poi,Demacian Citadel,Lightwell
poi,Shadow Isles,Black Mist Pier
poi,Shadow Isles,Wraithwood
poi,Shadow Isles,Thresh's Lantern
poi,Targon Ascent,Stargazer Camp
poi,Targon Ascent,Sunspire Trail
poi,Targon Ascent,Celestial Ledge
poi,Void Breach,Chasm Mouth
poi,Void Breach,Watcher Nest
poi,Void Breach,Nullstone Core
tier,T1,Gameplay
tier,T2,Multiplayer
tier,T3,Campaign
tier,T4,Engine
tier,T5,UI/UX
tier,T6,Audio
tier,T7,Netcode
rule,kw_count,5
rule,coord_fmt,(X, Y, Z) (X, Y, Z)
rule,coord_re,^\(\d+,\s*\d+,\s*\d+\)\s*\(\d+,\s*\d+,\s*\d+\)$
rule,repro_re,^\d+/\d+$
rule,buildUrl_prefix,getbuild://
rule,default_tz,CST
rule,default_executable,Test.exe
